track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,streams,in_apple_playlists,bpm,key,mode,danceability_%
Seven feat Latto Explicit Ver,Latto Jung Kook,2,2023,7,14,553,141381703,43,125,B,Major,80
LALA,Myke Towers,1,2023,3,23,1474,133716286,48,92,C,Major,71
vampire,Olivia Rodrigo,1,2023,6,30,1397,140003974,94,138,F,Major,51
Cruel Summer,Taylor Swift,1,2019,8,23,7858,800840817,116,170,A,Major,55
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,303236322,84,144,A,Minor,65
Sprinter,Dave Central Cee,2,2023,6,1,2186,183706234,67,141,C,Major,92
Ella Baila Sola,Eslabon Armado Peso Pluma,2,2023,3,16,3090,725980112,34,148,F,Minor,67
Columbia,Quevedo,1,2023,7,7,714,58149378,25,100,F,Major,67
fukumean,Gunna,1,2023,5,15,1096,95217315,60,130,C,Minor,85
La Bebe  Remix,Peso Pluma Yng Lvcas,2,2023,3,17,2953,553634067,49,170,D,Minor,81
un x100to,Bad Bunny Grupo Frontera,2,2023,4,17,2876,505671438,41,83,F,Minor,57
Super Shy,NewJeans,1,2023,7,7,422,58255150,37,150,F,Minor,78
Flowers,Miley Cyrus,1,2023,1,12,12211,1316855716,300,118,nan,Major,71
Daylight,David Kushner,1,2023,4,14,3528,387570742,80,130,D,Minor,51
As It Was,Harry Styles,1,2022,3,31,23575,2513188493,403,174,F,Minor,52
Kill Bill,SZA,1,2022,12,8,8109,1163093654,183,89,G,Major,64
Cupid  Twin Ver,Fifty Fifty,1,2023,2,24,2942,496795686,91,120,B,Minor,78
What Was I Made For From The Motion Picture Barbie,Billie Eilish,1,2023,7,13,873,30546883,80,78,nan,Major,44
Classy 101,Feid Young Miko,2,2023,3,31,2610,335222234,43,100,B,Major,86
Like Crazy,Jimin,1,2023,3,24,596,363369738,8,120,G,Major,63
LADY GAGA,Gabito Ballesteros Junior H Peso Pluma,3,2023,6,22,332,86444842,11,140,F,Minor,65
I Can See You Taylors Version From The ,Taylor Swift,1,2023,7,7,516,52135248,73,123,F,Major,69
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,1297026226,24,135,nan,Minor,48
Peso Pluma Bzrp Music Sessions Vol 55,Bizarrap Peso Pluma,2,2023,5,31,1313,200647221,17,133,F,Minor,85
Popular with Playboi Carti  Madonna  The Idol Vol 1 Music from the HBO Original Series,The Weeknd Madonna Playboi Carti,3,2023,6,2,1945,115364561,74,99,C,Major,85
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,78300654,16,130,G,Minor,79
Calm Down with Selena Gomez,Rma Selena G,2,2022,3,25,7112,899183384,202,107,B,Major,80
MOJABI GHOST,Tainy Bad Bunny,2,2023,6,29,859,61245289,35,122,F,Minor,81
Last Night,Morgan Wallen,1,2023,1,31,2420,429829812,52,204,F,Major,52
Dance The Night From Barbie The Album,Dua Lipa,1,2023,5,25,2988,127408954,0,110,B,Minor,67
Rush,Troye Sivan,1,2023,7,13,864,22581161,71,126,F,Minor,74
TULUM,Peso Pluma Grupo Frontera,2,2023,6,28,266,52294266,20,168,F,Major,56
